ratings,headings,reviews
5,Worth every penny,"Using it since last week.The display, photo and performance are best. Touch sensitivity is best. Photos are so natural, night time photos are too good. Photo quality after zooming is also good. Videos are also good. Better to buy Pro Max for longer battery backup. After heavy use, watching movies, battery consumption is 70% per day in average (no idea about backup for game users). Regarding weight, I am used to it. Dint find much difference from Samsung M31S and Flagship models. You can hold ...READ MORE"
5,Awesome,"The product is just Awesome  love it 6gbRAM 256gb its enough worth of money.Love the product,good build in camera.Magnificient phn,no other phones can replace it.READ MORE"
5,Best in the market!,"The best ever camera from apple, it gives you 2x more realistic and crystel clear photo than iphone11Its new colour feature(pacific blue) gives you a standard royal vibes as never before, its A14 bionic chip is as faster as wind which is great for gamingREAD MORE"
5,Classy product,Great phone fantastic display butter smooth switching between apps and overall thanks to flipkart for keeping up the delivery as per promise highly recommended!!READ MORE
5,Classy product,"Excellent product. Smooth operation, Very fast flipkart delivery. I received on 15/11.  Even Flipkart customer care called many times to know the  phone use experience and reminded me 7 days return policy in case any problem.  This is a new experience from Flipkart.READ MORE"
5,Best in the market!,"This is another big leap for iphone. The iphone 12 pro max the largest ever iphone.Camera is always superior to all, even though it does not have a 120 Hz, ite as smooth as ever.Display is awesome, sound is wow! Indeed with the a14 bionic , it is indeed the best iphone ever made.READ MORE"
5,Perfect product!,Lovely phone ❤️❤️ i love this 🥰🥰READ MORE
5,Brilliant,If you have that much amount to spend ! Just go for itREAD MORE
5,Terrific purchase,Awesome product thanks 2 filpcart for lovely product delivery on timeREAD MORE
5,Fabulous!,love this phoneREAD MORE
5,Highly recommended,I like the most in this phone:-1. I like the size of this phone because it is easy to hold.2. The camera quality of this phone is admirable. 3. Battery backup is good.4. The new design and colour  of this phone also a plus point of its beauty.5. These  points are my personal which i like most in this phone.READ MORE
5,Super!,One of the best looking phone in the market right now with a decent performance jump from 11 pro. Camera is excellent and the display is quite responsive and sharp. Only issue is it does not have a higher refresh rate and the battery life is average.READ MORE
5,Brilliant,I have upgraded from Android to iOS for the first time with the IPhone 12 Pro. And the experience is very much satisfactory. The new A14 bionic processor is very fast. The boxy design is what I liked the most. The camera and display are top notch. Night mode photography is excellent. Worth upgrading from Android to iOS .READ MORE
