ratings,headings,reviews
5,Highly recommended,I like the most in this phone:-1. I like the size of this phone because it is easy to hold.2. The camera quality of this phone is admirable. 3. Battery backup is good.4. The new design and colour  of this phone also a plus point of its beauty.5. These  points are my personal which i like most in this phone.READ MORE
5,Super!,One of the best looking phone in the market right now with a decent performance jump from 11 pro. Camera is excellent and the display is quite responsive and sharp. Only issue is it does not have a higher refresh rate and the battery life is average.READ MORE
5,Brilliant,I have upgraded from Android to iOS for the first time with the IPhone 12 Pro. And the experience is very much satisfactory. The new A14 bionic processor is very fast. The boxy design is what I liked the most. The camera and display are top notch. Night mode photography is excellent. Worth upgrading from Android to iOS .READ MORE
5,Awesome,"Awesome!Just made an upgrade from X, worth every single penny spent on it, the camera is just too superb, be it the selfie cam or the main rear cam, the goodness it takes the picture is just beyond words, no smart phone can beat it atm! However, the battery life tends to be on the shorter side, that’s the only con that I can’t think up of now,READ MORE"
5,Fabulous!,The camera is mind-blowing I love it 😘READ MORE
5,Mind-blowing purchase,Awesome performenceREAD MORE
5,Fabulous!,"This one of the best iPhone ever built, though battery backup isn’t good. But the user experience is brilliant.Upgraded from 11 Pro.READ MORE"
5,Worth every penny,The processor is fast. The only thing i did not like how it handles selfies in room lights. My iphone xs selfies tend to look appealing to my eyes. Or the rear camera. Night mode is excellent.READ MORE
5,Terrific,Amazing 🤩READ MORE
5,Classy product,Premium quality iPhone💯READ MORE
5,Just wow!,"iPhone 6S Plus 64GB -> iPhone 12 128GBMy 2nd iPhone, upgraded after 5 years.Gorgeous display, stunning new blue colour, excellent camera, best hardware-software combination, that’s how I would describe iPhone 12 as a package. 😊Even though my previous iPhone had a 5.5” display and this one has 6.1” display, its overall body size is much smaller. Had to get used to it initially 🙂Opening/closing/loading of apps is fast. No issues there. Video playback on this screen looks gorgeous. Took...READ MORE"
5,Awesome,Green colour is charming and priceless    No weight this iPhone       Totally mind blowing     Battery backup is not best of best but overall hall day backup normally usage  After update new version battery backup superb hall day easily use it     Camera quality awesome night mode superb     Display and 4K video look like live scene      Continue live internet use 7 or 8 hour battery backupREAD MORE
5,Excellent,"Best ever delivery by flipkart, got this phone in less than 24hrs, really impressed by the delivery, this is my first ever ios device, and i'm really impressed by its features, camera quality, awesome stereo speaker, oled display is awesome but have some warmth feeling making display little bit yellow, battery backup is awesome.READ MORE"
5,Terrific purchase,"The Product is fantastic with great nay awesome camera.Battery management is good but still could be better.Display is very beautiful and treat to watch videos.Design is good, gives vintage iphone kind of look.READ MORE"
5,Simply awesome,"Moved to iPhone from Android since cupcake days and I’m loving it so far. Brilliant display, camera and performance. IOS is still a little behind Android in terms of features and shortcuts in my opinion but it’s very close. Still getting used to all the features of iOS. Per-ordered on the launch day and it arrived barely on time. Overall happy with the purchase.READ MORE"
5,Super!,My first ios device. Oh boy this is a great device. I am so glad that I made the switch. The only thing I miss is the fast refresh rate of android but it’s not as bad as it sounds due to fluidity of iosCameras are excellent but not as sharp as newer android phones with bigger megapixels. But the quality and color accuracy of pictures are great.Battery life is also good. It would run a day and charges upto 90 percent in an hour.The display is gorgeous. One of the best.READ MORE
4,Nice product,Front Camera at low light doesn't give a good result at all. Looks Cheapest Camera ever.But in light it does work good and about other things its just Apple.A Perfect Masterpiece.Very light Weight device with Quality Look.READ MORE
5,Wonderful,"Upgraded from iPhone X.Noticed 3 major differences instantly.1. Lot of difference in camera pictures. The best camera model from iPhone so far2. Light weight and feels very handy during one hand use3. Screen brightness is better than iPhone XNot mentioning about other aspects like performance , speed as they already are close to perfect. Battery - not more than one complete day after constant usage of WhatsApp, safari, emails, spotify music & youtube videosREAD MORE"
5,Excellent,"Superb phone from apple. Buttery smooth and blazingly fast. Just missing telephoto camera at this price. This could be provided by Apple. Also charger is not coming along. At this price customer expects that. Nothing else to complain about. It is very good looking, compact and light weight. Master piece from Apple.READ MORE"
