ratings,headings,reviews
5,Best in the market!,Day 1 battery charged within 30min from 40 to 90Canera quality need to be more good because cannot compare with S galaxy typeOperations are swift and latest android makes smooth and fast.Must have phone and budget one.Further updates after 30 days of use Please put the reviews those who bought.Also new software update after the installation of phone is made slight heat on upper side may be this will correct on next software update. Hardware is too good and worth value for money. Go fo...READ MORE
5,Overall a Supreme Non-Chinese Mid-range phone !,"I am Surprised so much negativity about phone becoming hot ; Well i am writing this review after 3 days of use and i didnt not experience any Extreme heat issues.Yes , during Charging and mostly using Camera APP and when continuous updates happening it tend to get little hot and thats evident with any phone i have used in past (Be it RealMe,Xioami,LG,Asus)For a 25K this Phone is all worth for atleast the Non Gamers . Yes you can play Games on occassion but not for Complete core Gaming only...READ MORE"
5,Fabulous!,-Best value for money phone to buy with the best quality of display and fast processor.-stunning display and camera quality -user friendly user interface😃 -figerprint scanner is lightning fast 😳-makes you feel to use it more😅Best midrange phone of the year 2021READ MORE
5,Terrific,"Just fabulous phone , what a speedy phone,just wow , i am lucky to have itREAD MORE"
5,Terrific purchase,"Extraordinary flagship mobile, main thing is battery backup 7000 major battery is just unbelievable, looking for this mobile since so many days, finally got it today, love Samsung and thank you flipkart for your wonderful delivery, no words to sayREAD MORE"
5,Fabulous!,Best ever budget flagship experience you will ever get. Am so happy to get this smartphone after a long time. As usual Samsung has a brand image and though this Galaxy F62 it has exceeded my expectations  !!!!!!!READ MORE
5,Waste of money!,"Camera Quality is not good in Low light,Camera settings are extremely confused,In low lights pictures are likely blurishBulky phone due to 7000mah Processor is fast but camera is not as good as expectedREAD MORE"
5,Just wow!,"Works like a charm and feels premium too. Yesterday in morning my phone was charged completely at 5a.m and today it 7.10a.m when I am writing this review battery is at 25% after extensive use and playing games too. Worth 18k coz I got it with flipkart smart upgrade, worth every penny. Go for it. I have upgraded from samsung m31 and I think this phone is better than the previous phone. Loved it. Thanks samsung and flipkart.READ MORE"
5,Terrific,BEST PHONE ever by SamsungBattery lasts almost one and half day after heavy usage .Looks are just awesome.Amazingly fast and smooth performance.Has all features a smart phone should have.Only camera is little less than awesome. Brand Value for right cost.READ MORE
5,Best in the market!,Day 1 battery charged within 30min from 40 to 90Canera quality need to be more good because cannot compare with S galaxy typeOperations are swift and latest android makes smooth and fast.Must have phone and budget one.Further updates after 30 days of use Please put the reviews those who bought.Also new software update after the installation of phone is made slight heat on upper side may be this will correct on next software update. Hardware is too good and worth value for money. Go fo...READ MORE
5,Overall a Supreme Non-Chinese Mid-range phone !,"I am Surprised so much negativity about phone becoming hot ; Well i am writing this review after 3 days of use and i didnt not experience any Extreme heat issues.Yes , during Charging and mostly using Camera APP and when continuous updates happening it tend to get little hot and thats evident with any phone i have used in past (Be it RealMe,Xioami,LG,Asus)For a 25K this Phone is all worth for atleast the Non Gamers . Yes you can play Games on occassion but not for Complete core Gaming only...READ MORE"
5,Fabulous!,-Best value for money phone to buy with the best quality of display and fast processor.-stunning display and camera quality -user friendly user interface😃 -figerprint scanner is lightning fast 😳-makes you feel to use it more😅Best midrange phone of the year 2021READ MORE
5,Terrific,"Just fabulous phone , what a speedy phone,just wow , i am lucky to have itREAD MORE"
5,Terrific purchase,"Extraordinary flagship mobile, main thing is battery backup 7000 major battery is just unbelievable, looking for this mobile since so many days, finally got it today, love Samsung and thank you flipkart for your wonderful delivery, no words to sayREAD MORE"
5,Fabulous!,Best ever budget flagship experience you will ever get. Am so happy to get this smartphone after a long time. As usual Samsung has a brand image and though this Galaxy F62 it has exceeded my expectations  !!!!!!!READ MORE
5,Waste of money!,"Camera Quality is not good in Low light,Camera settings are extremely confused,In low lights pictures are likely blurishBulky phone due to 7000mah Processor is fast but camera is not as good as expectedREAD MORE"
